Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
2097,302,Entomology,What is the name of the mycelia form of Ergot?,Spores,Sclerotia,Hyphae,Conidia,None of these,B,Ergot is a mycelia form called Sclerotia.
2098,302,Entomology,Which method is mainly used for the detection of viral diseases in plants?,PCR,ELISA,Gram staining,Microscopy,None of these,B,ELISA (Enzyme-Linked Immuno-Sorbent Assay) test is mainly done for the detection of viral diseases.
2099,302,Entomology,Which of the following is an example of a prokaryote?,Fungi,Protozoa,BGA (Blue-Green Algae),Algae,None of these,C,BGA (Blue-Green Algae) is an example of a prokaryote.
2100,302,Entomology,Which fungicide is effective for the control of Oomycetous fungi?,Captan,Maneb,Metalaxyl,Chlorothalonil,None of these,C,Metalaxyl is an effective and new fungicide for the control of Oomycetous fungi.
2101,303,Entomology,What is the primary component of a virion?,Nucleic acid and a protein coat,Lipids and carbohydrates,Cellulose and pectin,Chlorophyll and mitochondria,None of these,A,"A virion consists of nucleic acid, which may be DNA or RNA, and a surrounding protein coat known as a capsid."
2102,303,Entomology,Which historical event was caused by the late blight of potato?,Iris famine,Coffee rust,Downy mildew of grapes,Bengal famine,None of these,A,The Iris famine occurred in 1845 due to the late blight of potato caused by Phytophthora infestans.
2103,303,Entomology,What is the composition of the Bordeaux mixture?,"Copper sulphate, lime, and water","Sulphur, lime, and water","Copper sulphate, ash, and water","Sulphur, ash, and lime",None of these,A,"The Bordeaux mixture is composed of copper sulphate (5 pounds), lime (5 pounds), and water (50 gallons)."
2104,303,Entomology,What does the term 'pathogenicity' refer to?,The relative capability of a pathogen to cause disease,The chain of metabolic events that bring about the disease,The degree of infectivity of a given pathogen,The period between penetration of a pathogen and the appearance of symptoms,None of these,A,Pathogenicity refers to the relative capability of a pathogen to cause disease.
2105,303,Entomology,Which pathogen was responsible for the coffee rust in Sri Lanka in 1867?,Hemilia vastatrix,Phytophthora infestans,Plasmapora viticola,Helminthosporium oryzae,None of these,A,The coffee rust in Sri Lanka in 1867 was caused by Hemilia vastatrix.
2106,303,Entomology,What is the definition of the incubation period in plant pathology?,The period between penetration of a pathogen and the appearance of symptoms,The time it takes for a pathogen to spread throughout the host,The duration of the disease in the host,The time it takes for the host to recover from the disease,None of these,A,The incubation period is defined as the period between the penetration of a pathogen and the first appearance of symptoms on the plant.
2107,303,Entomology,What is the meaning of the Greek word 'Pathos' in the context of plant pathology?,Suffering,Study,Disease,Plant,None of these,A,"In the context of plant pathology, the Greek word 'Pathos' means suffering."
2108,304,Entomology,Who is known as the 'Father of Botany'?,Theophrastus,C. Linnaeus,P.A Micheli,Anton van Leeuwenhoek,None of these,A,Theophrastus is known as the 'Father of Botany' because he wrote two influential books on plants: 'The Nature of Plants' and 'Reasons of Vegetable Growth'.
2109,304,Entomology,Which scientist developed the first microscope?,Anton van Leeuwenhoek,Robert Koch,C. Linnaeus,P.A Micheli,None of these,A,"Anton van Leeuwenhoek developed the first microscope in 1675, which allowed for significant advancements in the study of microorganisms."
2110,304,Entomology,Who is known as the 'Father of Mycology'?,P.A Micheli,Theophrastus,Anton de Bary,Brefeld,None of these,A,P.A Micheli is known as the 'Father of Mycology' because he was the first to study fungi and observe fungal spores on watermelon.
2111,304,Entomology,Which scientist gave the 'Binomial system of nomenclature'?,C. Linnaeus,Theophrastus,P.A Micheli,Anton de Bary,None of these,A,C. Linnaeus gave the 'Binomial system of nomenclature' in the 10th Edition of his famous book 'Systema Naturae' (1758).
2112,304,Entomology,Who discovered the life cycle of the bunt fungus?,Prevost,Tillet,Anton de Bary,Robert Koch,None of these,A,Prevost discovered the life cycle of the bunt fungus and also used copper sulphate to control bunt of wheat.
2113,304,Entomology,Who is known as the 'Father of Plant Pathology'?,Anton de Bary,Robert Koch,Brefeld,P.A Micheli,None of these,A,Anton de Bary is known as the 'Father of Plant Pathology' because he conducted detailed studies on potato late blight and proved that the fungus Phytophthora infestans was the cause.
2114,304,Entomology,Who is known as the 'Father of Microbial Technique of Bacteriology'?,Robert Koch,C. Linnaeus,Anton van Leeuwenhoek,Brefeld,None of these,A,Robert Koch is known as the 'Father of Microbial Technique of Bacteriology' because he discovered the bacterial etiology of anthrax disease and gave Koch's postulates for proving that a particular organism caused a particular disease.
2115,305,Entomology,Who is known as the Father of Plant Pathology in India?,K.R. Kirtikar,E.J. Butler,Dr. K.C. Mehta,B.B. Mundkur,None of these,B,"E.J. Butler is known as the Father of Plant Pathology in India due to his significant contributions to the field, including writing the book 'Fungi and Diseases in Plants' in 1918."
2116,305,Entomology,Which scientist proposed the 'Gene for Gene Concept' of disease resistance and susceptibility?,T. J. Burrill,H.H. Flor,Vanderplank,Kassanis,None of these,B,"H.H. Flor proposed the 'Gene for Gene Concept' in 1946, which explains disease resistance and susceptibility in linseed rust (Melanspora lini)."
2117,305,Entomology,Who discovered the bacterial cause of fire blight in pear?,T. J. Burrill,H.H. Flor,Vanderplank,Kassanis,None of these,A,"T. J. Burrill discovered the bacterial cause of fire blight in pear in 1882, identifying Erwinia amylovora as the pathogen."
2118,305,Entomology,Which scientist is known as the Father of Epidemiology?,T. J. Burrill,H.H. Flor,Vanderplank,Kassanis,None of these,C,"Vanderplank is known as the Father of Epidemiology due to his significant contributions to the field, including the concept of vertical and horizontal resistance in plants."
2119,305,Entomology,Who discovered satellite viruses?,T. J. Burrill,H.H. Flor,Vanderplank,Kassanis,None of these,D,"Kassanis discovered satellite viruses in 1962, observing that some strains of Tobacco Necrosis Virus (TNV) contained smaller particles of virus dependent on TNV for replication."
2120,305,Entomology,Who is known as the Father of Wheat Rust diseases in India?,K.R. Kirtikar,E.J. Butler,Dr. K.C. Mehta,B.B. Mundkur,None of these,C,Dr. K.C. Mehta is known as the Father of Wheat Rust diseases in India due to his extensive studies on the epidemiology of cereal rusts and the discovery of the disease cycle of wheat rust in India.
2121,305,Entomology,Which scientist gave the term 'Viroid'?,T. J. Burrill,H.H. Flor,Vanderplank,T.O. Diener,None of these,D,T.O. Diener gave the term 'Viroid' in 1971 and discovered viroids as the causal agent of potato spindle tuber disease. Viroids are circular naked RNA without a protein coat.
2122,306,Entomology,Which disease is an example of an endemic disease?,Wart disease of potato,Red rot of sugarcane,Late blight of potato,Green ear disease of Bajra,None of these,A,Wart disease of potato is classified as an endemic disease because it is constantly present in a particular area in moderate to severe form year after year.
2123,306,Entomology,What is the characteristic feature of a pandemic disease?,Occurs at very irregular intervals and locations,"Prevalent throughout the country, continent, or the world",Occurs widely in severe but periodically,Constantly present from year to year in a particular area,None of these,B,"A pandemic disease is characterized by its prevalence throughout a country, continent, or the world, unlike other types that are confined to specific regions or intervals."
2124,306,Entomology,Which symptom is characterized by a dusty or powdery appearance of fungus on the upper surface of plants?,Downy mildew,Powdery mildew,Rust,Anthracnose,None of these,B,Powdery mildew is identified by the dusty or powdery appearance of fungus on the upper surface of plants.
2125,306,Entomology,What type of rust completes its life cycle on more than one host?,Autoecious rust,Heteroecious rust,Linseed rust,Wheat rust,None of these,B,"Heteroecious rust requires an alternate host or completes its life cycle on more than one host, unlike autoecious rust which completes its life cycle on a single host."
2126,306,Entomology,Which disease is an example of a sporadic disease?,Wart disease of potato,Red rot of sugarcane,Green ear disease of Bajra,Late blight of potato,None of these,C,Green ear disease of Bajra is an example of a sporadic disease because it occurs at very irregular intervals and locations.
2127,306,Entomology,What is the characteristic symptom of smut?,Downy growth of the pathogen on the lower surface of leaves,Dusty or powdery appearance of fungus on the upper surface of plants,Rusty appearance and small pustules of spores,"Sooty or charcoal-like powder, black or purplish black dusty mass",None of these,D,"Smut is characterized by a sooty or charcoal-like powder, with the plant showing a black or purplish black dusty mass."
2128,306,Entomology,Which of the following is an example of an epidemic disease?,Wart disease of potato,Green ear disease of Bajra,Red rot of sugarcane,Late blight of potato,None of these,C,Red rot of sugarcane is an example of an epidemic disease because it occurs widely in severe form but periodically.
